page,claim_text,claim_strength,study_type,source_doi,practice_studied,is_MoM,theme,null_or_critical,bidmc,reviewer_signoff
/mom-meditation-microsite/research/holistic-nursing-in-practice-mindfulness-based-yoga-as-an-intervention/,"Effects of a mindfulness-based (MB) yoga practice on stress, burnout, and indicators of well-being among nurses and health care professionals (HCPs).",Randomized-trial evidence,RCT,10.1177/0898010120921587,yoga,N,Sleep,,N,
/mom-meditation-microsite/research/impact-of-mindfulness-based-stress-reduction-training-on-intrinsic-bra/,Significant MBSR-related differences in functional connectivity were found mainly in auditory/salience and medial visual networks.,Randomized-trial evidence,RCT,10.1016/j.neuroimage.2011.02.034,Mindfulness-Based Stress Reduction (MBSR),N,Stress & Anxiety,,N,
/mom-meditation-microsite/research/impact-of-mindfulness-based-stress-reduction-training-on-intrinsic-bra/,"Relative to findings in the control group, MBSR subjects showed (1) increased functional connectivity within auditory and visual networks, (2) increased functional connectivity between auditory cortex and areas associated with attentional and self-referential processes, (3) stronger anticorrelation between auditory and visual cortex, and (4) stronger anticorrelation between visual cortex and areas",Randomized-trial evidence,RCT,10.1016/j.neuroimage.2011.02.034,Mindfulness-Based Stress Reduction (MBSR),N,Stress & Anxiety,,N,
/mom-meditation-microsite/research/impact-of-mindfulness-based-stress-reduction-training-on-intrinsic-bra/,"These findings suggest that 8 weeks of mindfulness meditation training alters intrinsic functional connectivity in ways that may reflect a more consistent attentional focus, enhanced sensory processing, and reflective awareness of sensory experience.",Randomized-trial evidence,RCT,10.1016/j.neuroimage.2011.02.034,Mindfulness-Based Stress Reduction (MBSR),N,Stress & Anxiety,,N,
/mom-meditation-microsite/research/impact-of-short-and-long-term-mindfulness-meditation-training-on-amygd/,"Meditation training was associated with less amygdala reactivity to positive pictures relative to controls, but there were no group differences in response to negative pictures.",Randomized-trial evidence,RCT,10.1016/j.neuroimage.2018.07.013,Mindfulness-Based Stress Reduction (MBSR),N,Stress & Anxiety,,N,
/mom-meditation-microsite/research/impact-of-short-and-long-term-mindfulness-meditation-training-on-amygd/,"Reductions in reactivity to negative stimuli may require more practice experience or concentrated practice, as hours of retreat practice in long-term meditators was associated with lower amygdala reactivity to negative pictures - yet we did not see this relationship for practice time with MBSR.",Randomized-trial evidence,RCT,10.1016/j.neuroimage.2018.07.013,Mindfulness-Based Stress Reduction (MBSR),N,Stress & Anxiety,,N,
/mom-meditation-microsite/research/improving-stress-management-anxiety-and-mental-well-being-in-medical-s/,"Pressures and responsibilities of medical school put a strain on medical student's personal wellbeing, leading among all to high rates of anxiety, emotional discomfort and stress.",Randomized-trial evidence,RCT,10.1038/s41598-023-35483-z,yoga,N,Focus & Attention,,N,
/mom-meditation-microsite/research/improving-stress-management-anxiety-and-mental-well-being-in-medical-s/,In this work we evaluated the effectiveness of a comprehensive Mindfulness-Based Intervention (MBI) in reducing this load.,Randomized-trial evidence,RCT,10.1038/s41598-023-35483-z,yoga,N,Focus & Attention,,N,
/mom-meditation-microsite/research/investigation-of-mindfulness-meditation-practitioners-with-voxel-based/,Both regions have previously been found to be involved in meditation.,Mechanistic / observational evidence,Cross-sectional / Mechanistic,10.1093/scan/nsm038,Vipassana,N,Brain & Mechanisms,,N,
/mom-meditation-microsite/research/investigation-of-mindfulness-meditation-practitioners-with-voxel-based/,Results suggest that meditation practice is associated with structural differences in regions that are typically activated during meditation and in regions that are relevant for the task of meditation.,Mechanistic / observational evidence,Cross-sectional / Mechanistic,10.1093/scan/nsm038,Vipassana,N,Brain & Mechanisms,,N,
/mom-meditation-microsite/research/isha-yoga-practices-vegan-diet-and-participation-in-samyama-meditation/,Growing evidence suggests a role for gut bacteria and their metabolites in host-signaling responses along the gut-brain axis which may impact mental health.,Mechanistic / observational evidence,Cross-sectional / Mechanistic,10.1186/s12906-023-03935-8,Isha Samyama,adjacent,Stress & Anxiety,,Y,
/mom-meditation-microsite/research/isha-yoga-practices-vegan-diet-and-participation-in-samyama-meditation/,"Alpha diversity showed no significant differences between meditators and controls, while beta diversity showed significant changes (padj = 0.001) after Samyama in meditators' microbiota composition.",Mechanistic / observational evidence,Cross-sectional / Mechanistic,10.1186/s12906-023-03935-8,Isha Samyama,adjacent,Stress & Anxiety,,Y,
/mom-meditation-microsite/research/large-scale-genomic-study-reveals-robust-activation-of-the-immune-syst/,"We found the response to oxidative stress, detoxification, and cell cycle regulation pathways were down-regulated after meditation.",Mechanistic / observational evidence,Cross-sectional / Mechanistic,10.1073/pnas.2110455118,Isha Inner Engineering,adjacent,Stress & Anxiety,,Y,
/mom-meditation-microsite/research/large-scale-genomic-study-reveals-robust-activation-of-the-immune-syst/,"Strikingly, 220 genes directly associated with immune response, including 68 genes related to interferon signaling, were up-regulated, with no significant expression changes in the inflammatory genes.",Mechanistic / observational evidence,Cross-sectional / Mechanistic,10.1073/pnas.2110455118,Isha Inner Engineering,adjacent,Stress & Anxiety,,Y,
/mom-meditation-microsite/research/large-scale-genomic-study-reveals-robust-activation-of-the-immune-syst/,The work provides a foundation for understanding the effect of meditation and suggests that meditation as a behavioral intervention can voluntarily and nonpharmacologically improve the immune response for treating various conditions associated with excessive or persistent inflammation with a dampened immune system profile.,Mechanistic / observational evidence,Cross-sectional / Mechanistic,10.1073/pnas.2110455118,Isha Inner Engineering,adjacent,Stress & Anxiety,,Y,
/mom-meditation-microsite/research/mechanisms-of-mindfulness-emotion-regulation-following-a-focused-breat/,"The current study investigated whether a 15 min recorded focused breathing induction in a normal, primarily undergraduate population would decrease the intensity and negativity of emotional responses to affectively valenced picture slides and increase willingness to remain in contact with aversive picture slides.",Randomized-trial evidence,RCT,10.1016/j.brat.2005.12.007,breath-and-attention meditation,adjacent,Emotional Wellbeing,,N,
/mom-meditation-microsite/research/mechanisms-of-mindfulness-emotion-regulation-following-a-focused-breat/,The effects of the focused breathing induction were compared with the effects of 15 min recorded inductions of unfocused attention and worrying.,Randomized-trial evidence,RCT,10.1016/j.brat.2005.12.007,breath-and-attention meditation,adjacent,Emotional Wellbeing,,N,
/mom-meditation-microsite/research/meditation-and-yoga-for-irritable-bowel-syndrome-a-randomized-clinical/,"The evidence for efficacy, feasibility, and safety of virtually delivered yoga for patients with IBS is unknown.",Randomized-trial evidence,RCT,10.14309/ajg.0000000000002052,yoga,N,Stress & Anxiety,,N,
/mom-meditation-microsite/research/meditation-and-yoga-for-irritable-bowel-syndrome-a-randomized-clinical/,"No significant difference was found between groups in IBS-SSS score postintervention ( P = 0.149), but significant differences in favor of the treatment group for quality of life ( P = 0.030), fatigue ( P = 0.035), and perceived stress ( P = 0.040) were identified.",Randomized-trial evidence,RCT,10.14309/ajg.0000000000002052,yoga,N,Stress & Anxiety,,N,
/mom-meditation-microsite/research/meditation-programs-for-psychological-stress-and-well-being-a-systemat/,"Mindfulness meditation programs had moderate evidence of improved anxiety (effect size, 0.38 [95% CI, 0.12-0.64] at 8 weeks and 0.22 [0.02-0.43] at 3-6 months), depression (0.30 [0.00-0.59] at 8 weeks and 0.23 [0.05-0.42] at 3-6 months), and pain (0.33 [0.03- 0.62]) and low evidence of improved stress/distress and mental health-related quality of life.",Meta-analytic evidence,Meta-analysis / Systematic review,10.1001/jamainternmed.2013.13018,mindfulness / meditation,N,Stress & Anxiety,null/mixed (F12-verified),N,
/mom-meditation-microsite/research/meditation-programs-for-psychological-stress-and-well-being-a-systemat/,"We found low evidence of no effect or insufficient evidence of any effect of meditation programs on positive mood, attention, substance use, eating habits, sleep, and weight.",Meta-analytic evidence,Meta-analysis / Systematic review,10.1001/jamainternmed.2013.13018,mindfulness / meditation,N,Stress & Anxiety,null/mixed (F12-verified),N,
/mom-meditation-microsite/research/meditation-programs-for-psychological-stress-and-well-being-a-systemat/,"We found no evidence that meditation programs were better than any active treatment (ie, drugs, exercise, and other behavioral therapies).",Meta-analytic evidence,Meta-analysis / Systematic review,10.1001/jamainternmed.2013.13018,mindfulness / meditation,N,Stress & Anxiety,null/mixed (F12-verified),N,
/mom-meditation-microsite/research/meta-analytic-evidence-that-mindfulness-training-alters-resting-state-/,"This meta-analysis sought to expand upon neurobiological models of mindfulness through investigation of inherent brain network connectivity outcomes, indexed via resting state functional connectivity (rsFC).",Meta-analytic evidence,Meta-analysis / Systematic review,10.1038/s41598-022-15195-6,mindfulness / meditation,N,Brain & Mechanisms,,N,
/mom-meditation-microsite/research/meta-analytic-evidence-that-mindfulness-training-alters-resting-state-/,"We conducted a systematic review and meta-analysis of rsFC as an outcome of mindfulness training (MT) relative to control, with the hypothesis that MT would increase cross-network connectivity between nodes of the Default Mode Network (DMN), Salience Network (SN), and Frontoparietal Control Network (FPCN) as a mechanism of internally-oriented attentional control.",Meta-analytic evidence,Meta-analysis / Systematic review,10.1038/s41598-022-15195-6,mindfulness / meditation,N,Brain & Mechanisms,,N,
/mom-meditation-microsite/research/mind-the-hype-a-critical-evaluation-and-prescriptive-agenda-for-resear/,"During the past two decades, mindfulness meditation has gone from being a fringe topic of scientific investigation to being an occasional replacement for psychotherapy, tool of corporate well-being, widely implemented educational practice, and ""key to building more resilient soldiers."" Yet the mindfulness movement and empirical evidence supporting it have not gone without criticism.",Meta-analytic evidence,Meta-analysis / Systematic review,10.1177/1745691617709589,mindfulness / meditation,N,Brain & Mechanisms,field-methodology critique,N,
/mom-meditation-microsite/research/mind-the-hype-a-critical-evaluation-and-prescriptive-agenda-for-resear/,"Misinformation and poor methodology associated with past studies of mindfulness may lead public consumers to be harmed, misled, and disappointed.",Meta-analytic evidence,Meta-analysis / Systematic review,10.1177/1745691617709589,mindfulness / meditation,N,Brain & Mechanisms,field-methodology critique,N,
/mom-meditation-microsite/research/mindful-attention-to-breath-regulates-emotions-via-increased-amygdala-/,(2) Left dorso-medial prefrontal cortex was associated with ATB in general.,Randomized-trial evidence,RCT,10.1016/j.neuroimage.2016.03.041,breath-and-attention meditation,adjacent,Brain & Mechanisms,,N,
/mom-meditation-microsite/research/mindful-attention-to-breath-regulates-emotions-via-increased-amygdala-/,"(4) ATB down regulated amygdala activation and increased amygdala-prefrontal integration, with such increased integration being associated with mindfulness ability.",Randomized-trial evidence,RCT,10.1016/j.neuroimage.2016.03.041,breath-and-attention meditation,adjacent,Brain & Mechanisms,,N,
/mom-meditation-microsite/research/mindful-attention-to-breath-regulates-emotions-via-increased-amygdala-/,Results suggest amygdala-dorsal prefrontal cortex integration as a potential neural pathway of emotion regulation by mindfulness practice.,Randomized-trial evidence,RCT,10.1016/j.neuroimage.2016.03.041,breath-and-attention meditation,adjacent,Brain & Mechanisms,,N,
/mom-meditation-microsite/research/mindfulness-based-interventions-for-psychiatric-disorders-a-systematic/,Mindfulness conditions did not differ from minimal treatment conditions (d=0.38) and evidence-based treatments (d=0.09).,Meta-analytic evidence,Meta-analysis / Systematic review,10.1016/j.cpr.2017.10.011,mindfulness / meditation,N,Emotional Wellbeing,,N,
/mom-meditation-microsite/research/mindfulness-based-interventions-for-psychiatric-disorders-a-systematic/,"Effects on specific disorder subgroups showed the most consistent evidence in support of mindfulness for depression, pain conditions, smoking, and addictive disorders.",Meta-analytic evidence,Meta-analysis / Systematic review,10.1016/j.cpr.2017.10.011,mindfulness / meditation,N,Emotional Wellbeing,,N,
/mom-meditation-microsite/research/mindfulness-based-interventions-for-psychiatric-disorders-a-systematic/,Results support the notion that mindfulness-based interventions hold promise as evidence-based treatments.,Meta-analytic evidence,Meta-analysis / Systematic review,10.1016/j.cpr.2017.10.011,mindfulness / meditation,N,Emotional Wellbeing,,N,
/mom-meditation-microsite/research/mindfulness-based-stress-reduction-for-healthy-individuals-a-meta-anal/,"Effect-size estimates suggested that MBSR is moderately effective in pre-post analyses (n=26; Hedge's g=.55; 95% CI [.44, .66], p<.00001) and in between group analyses (n=18; Hedge's g=.53; 95% CI [.41, .64], p<.00001).",Meta-analytic evidence,Meta-analysis / Systematic review,10.1016/j.jpsychores.2015.03.009,Mindfulness-Based Stress Reduction (MBSR),N,Emotional Wellbeing,,N,
/mom-meditation-microsite/research/mindfulness-based-stress-reduction-for-healthy-individuals-a-meta-anal/,"Results suggested large effects on stress, moderate effects on anxiety, depression, distress, and quality of life, and small effects on burnout.",Meta-analytic evidence,Meta-analysis / Systematic review,10.1016/j.jpsychores.2015.03.009,Mindfulness-Based Stress Reduction (MBSR),N,Emotional Wellbeing,,N,
/mom-meditation-microsite/research/mindfulness-based-stress-reduction-for-stress-management-in-healthy-pe/,"The aim of the present review and meta-analysis is to better investigate current evidence about the efficacy of MBSR in healthy subjects, with a particular focus on its benefits for stress reduction.",Meta-analytic evidence,Meta-analysis / Systematic review,10.1089/acm.2008.0495,Mindfulness-Based Stress Reduction (MBSR),N,Focus & Attention,,N,
/mom-meditation-microsite/research/mindfulness-based-stress-reduction-for-stress-management-in-healthy-pe/,A direct comparison study between MBSR and standard relaxation training found that both treatments were equally able to reduce stress.,Meta-analytic evidence,Meta-analysis / Systematic review,10.1089/acm.2008.0495,Mindfulness-Based Stress Reduction (MBSR),N,Focus & Attention,,N,
/mom-meditation-microsite/research/mindfulness-based-stress-reduction-for-stress-management-in-healthy-pe/,"However, important limitations of the included studies as well as the paucity of evidence about possible specific effects of MBSR in comparison to other nonspecific treatments underline the necessity of further research.",Meta-analytic evidence,Meta-analysis / Systematic review,10.1089/acm.2008.0495,Mindfulness-Based Stress Reduction (MBSR),N,Focus & Attention,,N,
/mom-meditation-microsite/research/mindfulness-based-stress-reduction-in-post-treatment-breast-cancer-pat/,"From baseline to six weeks, the model demonstrated evidence of MBSR(BC) effectiveness in both the psychological (anxiety, depression, perceived stress and QOL, emotional well-being) (P = 0.007) and fatigue (fatigue, sleep, and drowsiness) (P < 0.001) clusters.",Randomized-trial evidence,RCT,10.1016/j.jpainsymman.2016.08.005,Mindfulness-Based Stress Reduction (MBSR),adjacent,Stress & Anxiety,,N,
/mom-meditation-microsite/research/mindfulness-based-stress-reduction-in-post-treatment-breast-cancer-pat/,"Our results provide clinical effectiveness evidence that MBSR(BC) works to improve symptom clusters, particularly for psychological and fatigue symptom clusters, with the greatest improvement occurring during the six-week program with sustained effects for several weeks after MBSR(BC) training.",Randomized-trial evidence,RCT,10.1016/j.jpainsymman.2016.08.005,Mindfulness-Based Stress Reduction (MBSR),adjacent,Stress & Anxiety,,N,
/mom-meditation-microsite/research/mindfulness-based-therapy-a-comprehensive-meta-analysis/,"Effect-size estimates suggested that MBT is moderately effective in pre-post comparisons (n=72; Hedge's g=.55), in comparisons with waitlist controls (n=67; Hedge's g=.53), and when compared with other active treatments (n=68; Hedge's g=.33), including other psychological treatments (n=35; Hedge's g=.22).",Meta-analytic evidence,Meta-analysis / Systematic review,10.1016/j.cpr.2013.05.005,mindfulness / meditation,N,Emotional Wellbeing,,N,
/mom-meditation-microsite/research/mindfulness-for-smoking-cessation/,"However, the evidence was of low and very low certainty due to risk of bias, inconsistency, and imprecision, meaning future evidence may very likely change our interpretation of the results.",Meta-analytic evidence,Meta-analysis / Systematic review,10.1002/14651858.CD013696.pub2,yoga,N,Focus & Attention,,N,
/mom-meditation-microsite/research/mindfulness-interventions/,"This article evaluates the growing evidence of mindfulness intervention RCTs by reviewing and discussing (a) the effects of mindfulness interventions on health, cognitive, affective, and interpersonal outcomes; (b) evidence-based applications of mindfulness interventions to new settings and populations (e.g., the workplace, military, schools); (c) psychological and neurobiological mechanisms of mi",Randomized-trial evidence,RCT,10.1146/annurev-psych-042716-051139,mindfulness / meditation,N,Focus & Attention,,N,
/mom-meditation-microsite/research/mindfulness-meditation-and-network-neuroscience-review-synthesis-and-f/,"Although preliminary, results across studies suggest that mindfulness meditation results in a shift in connector hubs, such as the anterior cingulate cortex, the thalamus, and the mid-insula.",Randomized-trial evidence,RCT,10.1016/j.bpsc.2024.11.005,mindfulness / meditation,N,Brain & Mechanisms,,N,
/mom-meditation-microsite/research/mindfulness-meditation-and-network-neuroscience-review-synthesis-and-f/,"Although there is mixed evidence regarding the impact of mindfulness training on global metrics of connectivity, the default mode network exhibits reduced intraconnectivity following mindfulness training.",Randomized-trial evidence,RCT,10.1016/j.bpsc.2024.11.005,mindfulness / meditation,N,Brain & Mechanisms,,N,
/mom-meditation-microsite/research/mindfulness-meditation-and-the-immune-system-a-systematic-review-of-ra/,"The findings suggest possible effects of mindfulness meditation on specific markers of inflammation, cell-mediated immunity, and biological aging, but these results are tentative and require further replication.",Meta-analytic evidence,Meta-analysis / Systematic review,10.1111/nyas.12998,mindfulness / meditation,N,Emotional Wellbeing,,N,
/mom-meditation-microsite/research/mindfulness-meditation-and-the-immune-system-a-systematic-review-of-ra/,"On the basis of this analysis, we describe the limitations of existing work and suggest possible avenues for future research.",Meta-analytic evidence,Meta-analysis / Systematic review,10.1111/nyas.12998,mindfulness / meditation,N,Emotional Wellbeing,,N,
/mom-meditation-microsite/research/mindfulness-meditation-improves-emotion-regulation-and-reduces-drug-ab/,"In both smokers and nonsmokers, improved self-control abilities in emotion regulation and stress reduction were found after training and these changes were related to increased ACC/mPFC activity following training.",Randomized-trial evidence,RCT,10.1016/j.drugalcdep.2015.11.041,mindfulness / meditation,N,Brain & Mechanisms,,N,
/mom-meditation-microsite/research/mindfulness-meditation-improves-emotion-regulation-and-reduces-drug-ab/,These results indicate that promoting emotion regulation and improving ACC/mPFC brain activity can help for addiction prevention and treatment.,Randomized-trial evidence,RCT,10.1016/j.drugalcdep.2015.11.041,mindfulness / meditation,N,Brain & Mechanisms,,N,
/mom-meditation-microsite/research/mindfulness-meditation-training-alters-stress-related-amygdala-resting/,"Recent studies indicate that mindfulness meditation training interventions reduce stress and improve stress-related health outcomes, but the neural pathways for these effects are unknown.",Randomized-trial evidence,RCT,10.1093/scan/nsv066,mindfulness / meditation,N,Brief & App-Based Practice,,N,
/mom-meditation-microsite/research/mindfulness-meditation-training-alters-stress-related-amygdala-resting/,We show in an initial discovery study that higher perceived stress over the past month is associated with greater bilateral amygdala-subgenual anterior cingulate cortex (sgACC) rsFC in a sample of community adults (n = 130).,Randomized-trial evidence,RCT,10.1093/scan/nsv066,mindfulness / meditation,N,Brief & App-Based Practice,,N,
/mom-meditation-microsite/research/mindfulness-meditation-training-alters-stress-related-amygdala-resting/,"This work provides an initial indication that mindfulness meditation training promotes functional neuroplastic changes, suggesting an amygdala-sgACC pathway for stress reduction effects.",Randomized-trial evidence,RCT,10.1093/scan/nsv066,mindfulness / meditation,N,Brief & App-Based Practice,,N,
/mom-meditation-microsite/research/mindfulness-training-improves-working-memory-capacity-and-gre-performa/,"Our results suggest that cultivating mindfulness is an effective and efficient technique for improving cognitive function, with wide-reaching consequences.",Randomized-trial evidence,RCT,10.1177/0956797612459659,mindfulness / meditation,N,Focus & Attention,,N,
/mom-meditation-microsite/research/online-guided-meditation-training-isha-kriya-improves-self-reported-sy/,These findings suggest that daily Isha Kriya practice could alleviate symptoms of these conditions.,Randomized-trial evidence,RCT,10.3389/fpsyt.2022.944973,Isha Kriya,adjacent,Stress & Anxiety,,Y,
/mom-meditation-microsite/research/online-isha-upa-yoga-for-student-mental-health-and-well-being-during-c/,College students experienced increased stress and anxiety during the COVID-19 pandemic.,Randomized-trial evidence,RCT,10.1111/aphw.12341,yoga,adjacent,Stress & Anxiety,,Y,
/mom-meditation-microsite/research/online-isha-upa-yoga-for-student-mental-health-and-well-being-during-c/,This study evaluated the effect of brief online Isha Upa Yoga modules on undergraduates' mental health and well-being.,Randomized-trial evidence,RCT,10.1111/aphw.12341,yoga,adjacent,Stress & Anxiety,,Y,
/mom-meditation-microsite/research/physical-and-psychosocial-benefits-of-yoga-in-cancer-patients-and-surv/,This study aimed to systematically review the evidence from randomized controlled trials (RCTs) and to conduct a meta-analysis of the effects of yoga on physical and psychosocial outcomes in cancer patients and survivors.,Meta-analytic evidence,Meta-analysis / Systematic review,10.1186/1471-2407-12-559,yoga,N,Stress & Anxiety,,N,
/mom-meditation-microsite/research/physical-and-psychosocial-benefits-of-yoga-in-cancer-patients-and-surv/,"Of the outcomes studied in more than three studies among patients with breast cancer, we found large reductions in distress, anxiety, and depression (d = -0.69 to -0.75), moderate reductions in fatigue (d = -0.51), moderate increases in general quality of life, emotional function and social function (d = 0.33 to 0.49), and a small increase in functional well-being (d = 0.31).",Meta-analytic evidence,Meta-analysis / Systematic review,10.1186/1471-2407-12-559,yoga,N,Stress & Anxiety,,N,
/mom-meditation-microsite/research/physical-and-psychosocial-benefits-of-yoga-in-cancer-patients-and-surv/,Yoga appeared to be a feasible intervention and beneficial effects on several physical and psychosocial symptoms were reported.,Meta-analytic evidence,Meta-analysis / Systematic review,10.1186/1471-2407-12-559,yoga,N,Stress & Anxiety,,N,
/mom-meditation-microsite/research/physiology-of-long-pranayamic-breathing-neural-respiratory-elements-ma/,Both inhibitory impulses and hyperpolarization current are known to synchronize neural elements leading to the modulation of the nervous system and decreased metabolic activity indicative of the parasympathetic state.,Mechanistic / observational evidence,Cross-sectional / Mechanistic,10.1016/j.mehy.2006.02.042,pranayama (yogic breathing),adjacent,Brain & Mechanisms,,N,
/mom-meditation-microsite/research/psychological-and-mind-body-interventions-for-endometriosis-a-systemat/,"This review examines the evidence for psychological and mind-body (PMB) interventions to improve endometriosis pain, psychological distress, sleep and fatigue.",Meta-analytic evidence,Meta-analysis / Systematic review,10.1016/j.jpsychores.2019.109756,yoga,N,Sleep,,N,
/mom-meditation-microsite/research/psychological-and-mind-body-interventions-for-endometriosis-a-systemat/,"Results indicate that no studies have yet used gold-standard methodology and, thus, definitive conclusions cannot be offered about PMB efficacy.",Meta-analytic evidence,Meta-analysis / Systematic review,10.1016/j.jpsychores.2019.109756,yoga,N,Sleep,,N,
/mom-meditation-microsite/research/psychological-and-mind-body-interventions-for-endometriosis-a-systemat/,"However, the results of these pilot studies suggest that PMB interventions show promise in alleviating pain, anxiety, depression, stress and fatigue in women with endometriosis, and future well-designed RCTs including active control groups are warranted.",Meta-analytic evidence,Meta-analysis / Systematic review,10.1016/j.jpsychores.2019.109756,yoga,N,Sleep,,N,
/mom-meditation-microsite/research/randomised-controlled-trial-of-yoga-and-bio-feedback-in-management-of-/,34 hypertensive patients were assigned at random either to six weeks' treatment by yoga relaxation methods with bio-feedback or to placebo therapy (general relaxation).,Randomized-trial evidence,RCT,10.1016/s0140-6736(75)90002-1,yoga,N,Clinical Research,,N,
/mom-meditation-microsite/research/randomised-controlled-trial-of-yoga-and-bio-feedback-in-management-of-/,Both groups showed a reduction in blood-pressure (from 168/100 to 141/84 mm.,Randomized-trial evidence,RCT,10.1016/s0140-6736(75)90002-1,yoga,N,Clinical Research,,N,
/mom-meditation-microsite/research/reducing-stress-with-yoga-a-systematic-review-based-on-multimodal-bios/,The multifaceted character of stress and the extensive research undertaken in this field indicate that the proposed approach would rely on multiple modalities.,Meta-analytic evidence,Meta-analysis / Systematic review,10.4103/ijoy.ijoy_218_23,yoga,N,Focus & Attention,,N,
/mom-meditation-microsite/research/research-review-the-effects-of-mindfulness-based-interventions-on-cogn/,"Mindfulness based interventions (MBIs) are an increasingly popular way of attempting to improve the behavioural, cognitive and mental health outcomes of children and adolescents, though there is a suggestion that enthusiasm has moved ahead of the evidence base.",Meta-analytic evidence,Meta-analysis / Systematic review,10.1111/jcpp.12980,mindfulness / meditation,N,Focus & Attention,,N,
/mom-meditation-microsite/research/research-review-the-effects-of-mindfulness-based-interventions-on-cogn/,"Across all RCTs we found significant positive effects of MBIs, relative to controls, for the outcome categories of Mindfulness, Executive Functioning, Attention, Depression, Anxiety/Stress and Negative Behaviours, with small effect sizes (Cohen's d), ranging from .16 to .30.",Meta-analytic evidence,Meta-analysis / Systematic review,10.1111/jcpp.12980,mindfulness / meditation,N,Focus & Attention,,N,
/mom-meditation-microsite/research/slow-breathing-for-reducing-stress-the-effect-of-extending-exhale/,Slow breathing techniques are commonly used to reduce stress.,Randomized-trial evidence,RCT,10.1016/j.ctim.2023.102937,yoga,adjacent,Stress & Anxiety,,N,
/mom-meditation-microsite/research/slow-breathing-for-reducing-stress-the-effect-of-extending-exhale/,"While it is believed by mind-body practitioners that extending the exhale time relative to inhale increases relaxation, this has not been demonstrated.",Randomized-trial evidence,RCT,10.1016/j.ctim.2023.102937,yoga,adjacent,Stress & Anxiety,,N,
/mom-meditation-microsite/research/the-clinical-efficacy-of-mindfulness-based-treatments-for-alcohol-and-/,"Large effect sizes were associated to levels of perceived craving, negative affectivity, and post-traumatic symptoms.",Meta-analytic evidence,Meta-analysis / Systematic review,10.1159/000490762,mindfulness / meditation,N,Stress & Anxiety,,N,
/mom-meditation-microsite/research/the-effect-of-mindfulness-based-programs-on-cognitive-function-in-adul/,Mindfulness-based programs (MBPs) are increasingly utilized to improve mental health.,Meta-analytic evidence,Meta-analysis / Systematic review,10.1007/s11065-021-09519-y,mindfulness / meditation,N,Focus & Attention,,N,
/mom-meditation-microsite/research/the-effect-of-mindfulness-based-programs-on-cognitive-function-in-adul/,Interest in the putative effects of MBPs on cognitive function is also growing.,Meta-analytic evidence,Meta-analysis / Systematic review,10.1007/s11065-021-09519-y,mindfulness / meditation,N,Focus & Attention,,N,
/mom-meditation-microsite/research/the-effect-of-yoga-on-sleep-quality-and-insomnia-in-women-with-sleep-p/,Four RCTs revealed no evidence for the effects of yoga compared with the control group in improving the sleep quality for peri/postmenopausal women using PSQI (SMD = - 0.31; 95% CI = - 0.95 to 0.33; P = 0.34).,Meta-analytic evidence,Meta-analysis / Systematic review,10.1186/s12888-020-02566-4,yoga,N,Sleep,,N,
/mom-meditation-microsite/research/the-effect-of-yoga-on-sleep-quality-and-insomnia-in-women-with-sleep-p/,Yoga was not associated with any serious adverse events.,Meta-analytic evidence,Meta-analysis / Systematic review,10.1186/s12888-020-02566-4,yoga,N,Sleep,,N,
/mom-meditation-microsite/research/the-effect-of-yoga-on-sleep-quality-and-insomnia-in-women-with-sleep-p/,"The moderator analyses suggest that participants in the non-breast cancer subgroup and participants in the non-peri/postmenopausal subgroup were associated with greater benefits, with a direct correlation of total class time with quality of sleep among other related benefits.",Meta-analytic evidence,Meta-analysis / Systematic review,10.1186/s12888-020-02566-4,yoga,N,Sleep,,N,
/mom-meditation-microsite/research/the-effectiveness-of-mindfulness-based-programs-in-reducing-stress-exp/,"Nurse-to-nurse lateral violence leads to negative workplace relationships and disrupts team performance, creating an environment where poor patient outcomes, burnout and high staff turnover rates are prevalent.Work-related stressors have been indicated as a potential cause of lateral violence.",Meta-analytic evidence,Meta-analysis / Systematic review,10.11124/jbisrir-2015-2380,Mindfulness-Based Stress Reduction (MBSR),N,Focus & Attention,,N,
/mom-meditation-microsite/research/the-effectiveness-of-mindfulness-based-programs-in-reducing-stress-exp/,A survey conducted by Reineck & Furino indicated that registered nurses had a very high regard for the intrinsic rewards of their profession but that they identified workplace relationships and stress issues as some of the most important contributors to their frustration and exhaustion.,Meta-analytic evidence,Meta-analysis / Systematic review,10.11124/jbisrir-2015-2380,Mindfulness-Based Stress Reduction (MBSR),N,Focus & Attention,,N,
/mom-meditation-microsite/research/the-effectiveness-of-mindfulness-based-programs-in-reducing-stress-exp/,"Hence, the objective of this systematic review is to evaluate the best research evidence available pertaining to mindfulness-based programs and their effectiveness in reducing perceived stress among nurses.",Meta-analytic evidence,Meta-analysis / Systematic review,10.11124/jbisrir-2015-2380,Mindfulness-Based Stress Reduction (MBSR),N,Focus & Attention,,N,
/mom-meditation-microsite/research/the-effects-of-mindfulness-meditation-on-nursing-students-stress-and-a/,The aim of this study was to evaluate the effects of a virtual mindfulness meditation intervention on stress and anxiety levels of 145 nursing students.,Randomized-trial evidence,RCT,10.1097/01.NEP.0000000000001159,mindfulness / meditation,N,Stress & Anxiety,,N,
